"filename", "language", "CSS", "Markdown", "Python", "Lua", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Client.lua", "Lua", 0, 0, 0, 666, 0, 0, 11, 101, 778
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Modules\Entity.lua", "Lua", 0, 0, 0, 246, 0, 0, 12, 50, 308
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Modules\Game.lua", "Lua", 0, 0, 0, 145, 0, 0, 4, 26, 175
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Modules\Gui.lua", "Lua", 0, 0, 0, 150, 0, 0, 0, 29, 179
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Modules\Interface.lua", "Lua", 0, 0, 0, 196, 0, 0, 1, 18, 215
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Modules\MultiplayerQOL.lua", "Lua", 0, 0, 0, 31, 0, 0, 1, 4, 36
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Client\Modules\Player.lua", "Lua", 0, 0, 0, 203, 0, 0, 11, 44, 258
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\LICENSE.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\README.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 10, 39
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\main.py", "Python", 0, 0, 372, 0, 0, 0, 11, 52, 435
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\static\index.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 12, 78
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\static\style.css", "CSS", 63, 0, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\templates\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\webserver.py", "Python", 0, 0, 13, 0, 0, 0, 1, 7, 21
"Total", "-", 63, 46, 385, 1637, 22, 66, 52, 365, 2636
